RowNumber,Geography,Gender,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBin,NumOfProducts,Age
81,France,Female,1,96645.54,False,False,171413.66,False,Fair,2,34
82,France,Female,2,0.0,True,False,136458.19,True,Very Good,1,32
83,France,Female,3,0.0,False,False,26019.59,False,Poor,2,36
84,France,Female,4,90307.62,True,True,159235.29,False,Poor,1,34
85,France,Female,4,0.0,True,False,1907.66,False,Poor,2,46
86,Spain,Female,10,0.0,True,True,114675.75,False,Fair,2,75
87,Spain,Male,3,121681.82,True,False,128643.35,True,Very Good,1,22
88,France,Male,9,0.0,True,False,151869.35,False,Good,2,30
89,France,Female,4,0.0,True,False,93251.42,True,Fair,3,46
90,Germany,Female,3,81623.67,True,True,156791.36,False,Fair,2,28
91,Spain,Female,5,0.0,True,True,174205.22,True,Fair,3,44
92,France,Male,7,118626.55,True,False,147132.46,False,Exceptional,2,45
93,France,Female,10,0.0,True,False,109614.57,False,Poor,2,36
94,France,Male,8,0.0,True,True,172290.61,False,Very Good,2,29
95,Spain,Male,4,0.0,False,True,85982.47,False,Good,2,42
96,Spain,Male,10,176273.95,False,True,121277.78,False,Poor,1,35
97,Spain,Male,9,102827.44,False,True,64595.25,False,Very Good,1,41
98,Germany,Male,8,97086.4,True,True,197276.13,False,Exceptional,2,29
99,Spain,Male,8,0.0,False,False,99645.04,False,Good,2,22
100,France,Male,9,0.0,False,False,6534.18,False,Poor,2,34
101,France,Female,6,0.0,True,True,161848.03,False,Fair,1,40
102,France,Female,6,0.0,False,False,167162.43,False,Fair,2,44
103,France,Male,9,82674.15,True,False,41970.72,False,Good,1,31
104,Spain,Male,7,0.0,True,False,60536.56,False,Poor,2,36
105,Spain,Female,1,0.0,True,True,177655.68,True,Good,1,65
106,Spain,Female,4,107073.27,True,True,30984.59,True,Fair,2,46
107,Germany,Male,1,88938.62,True,True,10054.53,False,Fair,1,32
108,Germany,Female,2,99806.85,False,True,36976.52,False,Very Good,1,36
109,Spain,Male,5,150092.8,False,False,71862.79,False,Fair,1,33
110,Germany,Male,9,92833.89,True,False,99449.86,True,Poor,1,35
111,Germany,Male,3,90536.81,False,True,63082.88,False,Good,1,30
112,Germany,Male,7,108055.1,True,False,27231.26,False,Poor,2,39
113,France,Male,2,100238.35,False,False,86797.41,False,Poor,1,42
114,Spain,Male,9,106190.55,False,True,22994.32,False,Good,1,36
115,Germany,Male,9,154475.54,False,True,101300.94,True,Good,2,28
116,Germany,Female,9,132351.29,True,True,74169.13,False,Fair,2,30
117,Germany,Female,6,167864.4,True,False,115638.29,False,Fair,1,37
118,France,Female,1,0.0,True,False,31766.3,False,Poor,2,41
119,Germany,Female,8,107818.63,True,False,199725.39,True,Poor,1,31
120,Germany,Male,4,185173.81,True,False,120834.48,False,Good,2,34
121,France,Male,8,129433.34,False,False,38131.77,False,Exceptional,2,34
122,Spain,Male,6,120193.42,False,False,100130.95,False,Good,1,39
123,France,Female,6,0.0,True,False,141069.88,False,Fair,2,39
124,Germany,Female,10,126384.42,True,True,198129.36,False,Good,1,48
125,France,Female,3,0.0,False,False,183646.41,False,Fair,1,28
126,France,Male,9,152603.45,True,False,110265.24,True,Poor,1,42
127,France,Female,1,0.0,False,True,8636.05,True,Poor,1,52
128,Germany,Male,0,148507.24,True,False,46824.08,True,Fair,1,56
129,France,Female,7,0.0,True,False,171378.77,False,Exceptional,2,41
130,France,Male,9,101827.07,True,False,167256.35,False,Very Good,1,24
131,France,Female,3,0.0,True,True,124226.16,False,Very Good,2,34
132,Germany,Female,9,130862.43,True,True,114935.21,False,Very Good,1,33
133,France,Male,9,122570.87,True,True,35608.88,False,Good,1,38
134,France,Male,1,0.0,False,True,16459.37,False,Good,2,25
135,Germany,Male,7,124828.46,True,True,124411.08,False,Very Good,2,39
136,Germany,Female,5,144895.05,True,True,34941.23,False,Fair,2,50
137,Germany,Female,5,63663.93,False,True,167784.28,False,Poor,1,34
138,France,Male,2,133463.1,False,True,93165.34,False,Fair,1,40
139,Spain,Female,2,213146.2,True,False,75161.25,True,Fair,1,48
140,Spain,Female,1,129490.36,False,True,8590.83,True,Poor,2,35
141,Germany,Male,10,137452.09,True,False,189543.9,False,Very Good,1,44
142,France,Male,7,0.0,True,True,180427.24,False,Fair,2,34
143,France,Female,5,125851.93,True,True,193318.33,False,Good,1,43
144,Spain,Male,2,0.0,True,False,159123.82,True,Very Good,1,52
145,France,Female,5,40915.55,True,False,126213.84,True,Good,1,31
146,Spain,Female,5,113157.22,True,True,54141.5,False,Poor,1,21
147,Spain,Female,8,138296.94,True,False,141075.51,False,Fair,2,29
148,France,Male,5,106967.18,False,False,24495.03,False,Fair,1,37
149,France,Male,9,120681.63,True,False,74836.34,False,Good,1,44
150,France,Male,0,0.0,False,True,878.87,False,Poor,2,32
151,Spain,Female,7,0.0,True,False,89520.75,False,Very Good,2,32
152,France,Female,9,0.0,True,False,149892.79,True,Poor,1,48
153,Spain,Male,8,0.0,True,False,180800.42,False,Good,2,42
154,France,Male,2,127609.59,True,False,98646.22,False,Poor,1,37
155,France,Female,6,0.0,True,True,109041.53,False,Fair,2,43
156,Spain,Male,7,0.0,True,False,17941.16,True,Good,1,57
157,France,Female,7,0.0,False,False,82996.47,False,Very Good,2,33
158,Spain,Female,2,0.0,True,True,92067.35,False,Fair,2,28
159,France,Female,6,97259.25,False,True,104719.66,False,Fair,1,73
160,Germany,Female,4,123246.7,False,False,112687.57,False,Fair,1,33
161,Spain,Female,6,101060.25,False,True,84699.56,False,Good,1,22
162,France,Male,2,0.0,True,False,83473.82,False,Good,2,30
163,France,Female,7,108007.36,False,False,47125.11,False,Exceptional,1,49
164,Spain,Female,2,0.0,True,True,106977.8,False,Good,2,36
165,Spain,Male,0,133702.89,True,False,55582.54,True,Good,1,29
166,Germany,Male,9,125189.75,True,True,139874.43,False,Fair,2,31
167,Germany,Female,7,113034.22,True,False,162503.48,True,Good,1,24
168,Spain,Female,9,109013.23,True,False,196499.96,False,Fair,1,41
169,Spain,Female,2,0.0,True,False,40721.24,True,Fair,2,39
170,Germany,Male,9,57929.81,False,False,53134.3,False,Good,2,24
171,France,Female,4,130114.39,True,False,164017.89,False,Poor,1,29
172,Germany,Male,5,95826.49,True,False,155996.96,False,Fair,2,27
173,Germany,Male,10,129608.57,True,False,5472.7,True,Poor,1,44
174,France,Male,4,169462.09,True,False,112187.11,False,Poor,1,30
175,France,Male,5,0.0,True,True,146457.83,False,Poor,2,40
176,Spain,Female,7,133868.21,True,True,27286.1,False,Poor,1,35
177,France,Female,0,0.0,True,True,130553.47,False,Poor,2,30
178,Germany,Male,5,190479.48,False,False,179351.89,False,Fair,2,36
179,Spain,Female,8,101993.12,False,True,94774.12,False,Fair,1,40
180,Germany,Female,3,161608.81,True,False,8080.85,True,Very Good,1,55
181,Spain,Female,2,122311.21,True,True,19482.5,False,Exceptional,1,45
182,France,Male,2,0.0,True,True,48071.61,False,Poor,2,65
183,Germany,Female,1,162150.42,True,False,174531.27,False,Very Good,2,45
184,France,Male,2,0.0,True,True,55470.78,False,Fair,2,42
185,France,Female,4,0.0,True,True,8546.87,True,Exceptional,1,50
186,France,Male,8,0.0,True,False,95857.18,False,Poor,2,32
187,France,Female,1,99010.67,True,False,194945.8,False,Good,1,39
188,Spain,Female,0,0.0,False,True,131521.72,False,Poor,1,37
189,Spain,Male,5,0.0,False,True,196108.51,False,Fair,2,30
190,Germany,Female,7,111388.18,True,False,148564.76,False,Good,2,34
191,France,Female,8,56214.85,False,False,92982.61,True,Good,2,41
192,France,Female,3,84327.77,True,False,17675.36,False,Poor,2,36
193,France,Male,1,0.0,False,False,114996.43,False,Poor,2,40
194,France,Male,8,93012.89,True,False,86957.42,False,Fair,1,32
195,Spain,Male,9,61710.44,True,False,128077.8,False,Fair,2,29
196,France,Male,3,174790.15,True,True,600.36,False,Exceptional,1,35
197,Spain,Female,6,0.0,True,True,43001.46,False,Fair,2,32
198,Germany,Male,3,107720.64,True,True,158591.12,False,Good,1,37
199,France,Male,10,0.0,True,True,47847.19,False,Poor,2,57
200,France,Male,6,96423.84,True,False,10488.44,False,Poor,1,35
201,Spain,Male,2,141040.01,True,True,5978.2,False,Exceptional,1,30
202,France,Male,4,105420.18,False,True,121409.06,False,Very Good,1,42
203,Spain,Male,5,0.0,False,True,146145.93,True,Poor,1,50
204,France,Female,2,129022.06,True,True,14374.86,True,Good,2,38
205,Spain,Male,3,176666.62,True,False,94670.77,False,Poor,1,33
206,France,Male,3,0.0,True,True,179670.31,False,Poor,1,37
207,Spain,Female,3,89763.84,False,False,199304.74,True,Fair,1,41
208,France,Male,5,134954.53,True,True,151954.39,False,Fair,1,34
209,France,Male,5,0.0,True,False,142513.5,True,Fair,1,45
210,France,Male,2,106376.85,False,True,158264.62,False,Good,1,45
211,Germany,Male,2,161814.64,True,False,169381.9,False,Good,2,33
212,France,Male,8,0.0,True,True,169915.02,False,Fair,2,31
213,France,Female,9,0.0,False,False,88852.47,False,Fair,2,41
214,France,Female,1,63095.01,True,True,40645.81,False,Good,1,34
215,Germany,Male,4,118287.01,False,False,60427.3,False,Poor,2,26
216,Germany,Male,7,106854.21,False,True,157959.02,True,Fair,1,47
217,France,Male,7,49512.55,True,False,133007.34,False,Good,1,46
218,Spain,Female,9,0.0,False,False,176576.62,False,Good,2,33
219,France,Male,1,105799.32,True,False,34888.04,True,Exceptional,2,43
220,France,Male,8,0.0,True,True,28737.71,True,Fair,1,54
221,France,Female,9,114722.05,True,True,98178.57,False,Good,2,31
222,Spain,Male,7,0.0,False,True,125010.24,False,Poor,1,30
223,France,Male,2,0.0,True,True,167984.61,False,Poor,2,42
224,France,Male,10,0.0,True,False,4861.72,True,Exceptional,1,33
225,Germany,Male,6,99564.22,True,True,108872.45,True,Good,1,45
226,France,Male,4,170557.91,True,False,198252.88,False,Good,2,37
227,France,Female,9,0.0,True,True,26960.31,False,Good,2,30
228,Germany,Female,6,74596.15,True,True,85746.52,True,Poor,3,39
229,Germany,Male,2,96888.39,True,False,77206.25,True,Very Good,1,50
230,Germany,Female,3,130830.22,True,False,61048.53,False,Fair,1,29
231,France,Male,1,0.0,False,True,111981.19,False,Good,2,72
232,France,Male,0,0.0,True,False,62232.6,False,Fair,2,40
233,France,Female,1,0.0,False,True,156105.03,False,Poor,2,37
234,Germany,Male,3,119714.25,False,True,150135.38,False,Very Good,2,20
235,France,Female,5,113978.97,False,True,93146.11,False,Fair,2,67
236,Germany,Male,6,100160.75,True,False,33462.94,True,Very Good,1,42
237,France,Female,2,0.0,True,True,144375.0,False,Good,1,29
238,Germany,Female,3,116220.5,True,False,55803.96,True,Poor,3,43
239,France,Female,2,0.0,True,False,89048.46,True,Fair,3,46
240,France,Male,2,81173.83,False,True,162812.16,False,Good,2,28
241,Spain,Male,4,0.0,True,False,136259.65,False,Fair,2,38
242,Germany,Female,5,116803.8,True,False,124052.97,False,Good,1,39
243,France,Male,8,105961.68,False,True,74158.8,False,Good,2,37
244,Germany,Male,6,117411.6,True,True,45071.09,True,Fair,1,67
245,Spain,Male,7,0.0,True,False,62030.06,False,Poor,2,34
246,France,Female,10,123497.58,True,False,131953.23,True,Fair,1,40
247,Germany,Male,7,152400.51,True,False,79414.0,False,Very Good,2,26
248,France,Female,1,0.0,True,True,199638.56,False,Poor,2,26
249,Germany,Male,8,103097.85,True,True,157577.29,False,Fair,1,24
250,Germany,Male,8,126418.14,True,False,134420.75,True,Good,1,54
251,Germany,Female,5,77846.9,False,False,99805.99,False,Very Good,1,36
252,Spain,Female,1,0.0,True,True,97932.68,False,Fair,2,34
253,France,Female,0,0.0,False,True,170968.99,False,Good,2,79
254,Germany,Male,2,79731.91,True,True,57558.95,False,Poor,1,37
255,Spain,Male,8,0.0,False,False,176713.47,False,Good,1,28
256,Spain,Male,0,0.0,False,True,34283.23,False,Very Good,2,41
257,France,Male,10,0.0,True,True,198637.34,False,Good,2,34
258,Germany,Female,6,37266.67,False,False,156917.12,False,Good,2,34
259,France,Female,6,127992.25,True,True,50457.2,False,Good,1,30
260,Germany,Male,3,54901.01,True,True,140075.55,False,Exceptional,1,38
261,Germany,Male,9,108748.08,True,True,65323.11,False,Good,2,42
262,Spain,Female,6,99906.19,True,False,64323.24,False,Good,1,48
263,France,Female,6,184686.41,True,False,14956.44,False,Poor,2,32
264,France,Female,0,110654.02,False,True,111879.21,False,Good,1,26
265,Spain,Male,9,79019.8,True,True,18606.23,False,Good,1,31
266,Spain,Female,9,99240.51,True,False,123137.01,False,Poor,1,36
267,France,Male,2,0.0,True,True,148528.24,False,Poor,2,34
268,France,Male,7,0.0,True,False,13898.31,False,Fair,2,36
269,Spain,Female,7,0.0,False,False,81259.25,True,Poor,1,39
270,Germany,Female,7,52436.2,True,False,161051.75,False,Very Good,1,35
271,Spain,Male,9,0.0,False,True,191599.67,False,Fair,2,41
272,Germany,Male,3,100337.96,True,False,48559.19,True,Good,3,34
273,Germany,Female,1,149297.19,True,True,186339.74,False,Exceptional,2,34
274,France,Male,8,0.0,True,False,33159.37,False,Good,2,30
275,Germany,Male,4,145605.44,False,True,93883.53,False,Good,1,28
276,Spain,Female,7,0.0,True,True,110899.3,False,Good,2,37
277,France,Male,3,0.0,True,True,11199.04,True,Very Good,1,62
278,France,Female,10,0.0,True,False,189992.97,False,Very Good,2,53
279,France,Male,6,84026.86,False,True,164255.69,False,Fair,1,35
280,France,Male,1,0.0,True,False,152167.79,True,Good,1,46
281,France,Male,8,0.0,True,True,33949.67,False,Very Good,2,39
282,Spain,Male,10,0.0,True,True,68143.93,False,Very Good,2,29
283,Germany,Male,4,138718.92,True,True,47251.79,True,Poor,1,35
284,France,Male,7,118274.71,True,True,25885.72,False,Exceptional,1,42
285,France,Female,8,174185.98,False,True,192633.85,False,Very Good,2,22
286,France,Male,7,113208.86,True,False,34577.36,False,Good,2,40
287,Spain,Male,5,103907.28,True,False,161229.84,False,Fair,1,29
288,France,Female,8,119023.28,True,False,100816.29,False,Poor,1,32
289,Spain,Female,5,166297.89,True,True,181694.44,False,Very Good,1,26
290,Spain,Male,10,0.0,True,False,79078.91,False,Fair,2,34
291,Germany,Male,9,63227.0,False,True,137316.32,False,Good,1,42
292,Spain,Female,5,94521.17,True,False,194926.86,False,Very Good,2,41
293,France,Male,7,0.0,True,False,51285.49,False,Fair,2,27
294,Spain,Female,9,112822.26,False,False,150401.53,True,Very Good,1,34
295,France,Male,3,0.0,True,True,112491.96,False,Good,2,38
296,France,Male,2,135903.33,True,False,73656.38,False,Very Good,1,25
297,France,Female,4,125169.26,True,True,106636.89,False,Good,1,31
298,Spain,Female,7,0.0,True,False,155853.52,True,Good,3,44
299,France,Male,0,149117.31,True,True,162599.51,False,Poor,1,58
300,France,Male,5,0.0,True,True,103737.82,False,Fair,2,33
301,France,Female,10,0.0,True,False,160990.27,False,Good,2,31
302,Spain,Female,6,132311.71,False,False,15462.84,False,Fair,1,36
303,France,Male,8,0.0,True,False,10334.05,False,Good,2,35
304,France,Female,6,0.0,True,True,190686.16,False,Good,2,33
305,France,Male,4,118082.89,False,False,94440.45,False,Poor,1,33
306,France,Male,1,119266.69,True,True,28257.63,False,Fair,1,31
307,France,Male,2,0.0,True,True,170034.95,True,Good,1,43
308,Germany,Male,7,156847.29,True,False,31824.29,False,Fair,2,35
309,France,Male,4,137104.47,True,False,127166.49,True,Fair,1,50
310,Germany,Male,8,78398.69,True,False,44937.01,False,Poor,1,31
311,France,Female,4,0.0,True,True,188603.07,False,Fair,2,80
312,Germany,Male,6,63669.42,True,False,145111.37,False,Good,1,30
313,France,Male,3,0.0,False,False,171463.83,False,Fair,2,38
314,Germany,Female,0,135296.33,True,False,182822.5,False,Exceptional,1,59
315,Spain,Male,2,153804.44,True,True,87213.33,False,Very Good,1,36
316,Spain,Male,3,0.0,False,False,57175.32,False,Poor,2,37
317,France,Male,2,147069.78,True,False,120540.83,True,Poor,1,49
318,Spain,Male,9,0.0,True,True,28714.34,False,Good,2,42
319,Spain,Female,3,0.0,True,False,85426.28,False,Fair,1,22
320,France,Male,4,95741.75,True,False,46170.75,False,Poor,1,24
321,Spain,Female,2,145965.33,True,True,64448.36,False,Poor,1,57
322,France,Female,8,141441.75,True,True,16278.97,False,Good,1,30
323,France,Male,1,139290.41,True,False,182855.42,True,Very Good,1,40
324,France,Female,4,0.0,False,False,50404.72,False,Very Good,2,31
325,France,Male,3,0.0,True,False,107640.25,False,Good,2,30
326,France,Male,4,144428.87,True,False,134132.65,False,Good,1,35
327,France,Male,2,0.0,True,False,103480.69,False,Fair,2,35
328,France,Female,9,95441.27,True,False,108761.05,True,Fair,1,46
329,Germany,Male,1,144848.74,True,True,179012.3,False,Good,1,35
330,Germany,Male,7,116244.14,True,True,95145.14,False,Fair,2,26
331,France,Male,7,0.0,False,True,72143.44,False,Fair,2,50
332,Spain,Female,1,146502.07,True,False,19162.89,False,Fair,1,40
333,Germany,Male,2,117028.6,False,True,144680.18,False,Fair,2,44
334,Germany,Female,8,112013.81,True,False,177772.03,True,Fair,1,30
335,Spain,Female,6,108269.37,True,False,5597.94,False,Fair,1,37
336,France,Male,7,182123.79,True,False,116828.51,True,Poor,1,29
337,Germany,Female,3,150923.74,False,True,174652.51,False,Fair,2,32
338,France,Male,2,0.0,True,False,2010.98,False,Fair,2,33
339,Spain,Female,5,165272.13,True,False,14109.85,True,Exceptional,1,39
340,Germany,Female,10,115301.31,True,False,43527.4,True,Good,1,39
341,Germany,Female,6,129502.49,False,True,86099.23,True,Fair,2,40
342,France,Male,4,118342.26,False,False,161574.19,False,Fair,1,31
343,Spain,Female,5,0.0,True,True,38970.14,False,Poor,2,47
344,France,Male,8,0.0,False,False,127587.22,False,Poor,2,22
345,France,Female,7,0.0,True,False,30380.12,False,Good,2,25
346,France,Female,7,0.0,True,False,90908.95,False,Exceptional,2,43
347,Germany,Female,9,106937.05,True,False,138275.01,False,Fair,2,34
348,Germany,Male,3,170331.37,True,True,32171.79,False,Fair,1,59
349,Germany,Female,1,114510.85,True,True,126143.23,False,Fair,1,32
350,France,Male,5,0.0,True,True,129892.93,False,Fair,2,39
351,Spain,Male,3,107594.11,True,True,102416.84,False,Fair,2,32
352,Spain,Male,2,81273.13,True,True,18719.67,False,Very Good,1,39
353,Spain,Female,7,169399.6,True,False,61936.22,False,Poor,1,32
354,Spain,Male,6,0.0,True,True,78358.94,False,Good,2,25
355,France,Female,1,187841.99,True,True,147224.27,False,Fair,2,45
356,France,Male,0,0.0,True,False,160979.66,False,Poor,2,30
357,Spain,Female,8,126776.3,True,True,132298.49,False,Exceptional,2,57
358,Spain,Male,9,126436.29,True,False,174248.52,True,Poor,1,34
359,France,Male,1,101960.74,True,True,123547.28,False,Good,1,41
360,France,Male,3,0.0,False,True,32790.02,False,Poor,2,58
361,Spain,Male,3,0.0,False,True,181543.67,False,Good,2,28
362,Germany,Female,2,150842.93,False,True,2319.96,True,Fair,1,45
363,France,Female,9,102535.57,True,True,189543.19,False,Fair,1,50
364,Germany,Female,9,99027.61,True,False,10940.4,False,Poor,2,29
365,France,Male,9,0.0,True,True,199493.38,False,Fair,2,68
366,Spain,Female,3,0.0,True,True,188193.25,False,Fair,1,33
367,Germany,Female,9,87271.41,True,False,172572.64,False,Poor,2,42
368,Germany,Female,8,102742.91,True,True,189339.6,False,Poor,2,35
369,Germany,Male,2,40105.51,False,True,53512.16,False,Fair,2,34
370,France,Female,2,152265.43,True,False,34004.44,False,Fair,1,29
371,Spain,Male,4,141947.67,True,True,10598.29,False,Exceptional,1,42
372,Germany,Female,1,106307.91,False,True,113428.77,False,Fair,2,75
373,Germany,Male,0,107884.81,True,True,183487.98,False,Fair,2,31
374,Germany,Male,1,125013.72,True,True,187658.09,False,Exceptional,1,31
375,Germany,Male,7,58469.37,True,True,172459.39,False,Good,2,35
376,France,Female,8,0.0,False,True,21016.0,False,Very Good,1,39
377,Germany,Male,10,117231.63,True,True,122381.02,True,Very Good,3,45
378,Spain,Male,4,152390.26,True,False,128123.66,False,Poor,1,35
379,Spain,Female,2,34013.63,True,False,19570.63,False,Fair,1,30
380,Spain,Female,2,0.0,False,False,188150.6,True,Good,3,39
381,France,Female,9,0.0,True,True,111020.24,False,Poor,2,50
382,France,Male,7,101583.11,True,False,123775.15,False,Good,2,36
383,Germany,Female,10,77168.87,False,True,146700.22,False,Poor,2,30
384,Germany,Male,8,124695.72,True,False,145251.35,False,Good,2,28
385,Germany,Male,3,105934.96,True,False,82463.69,False,Good,1,44
386,France,Female,9,0.0,True,True,15928.49,False,Poor,1,66
387,Spain,Male,6,0.0,True,False,45886.33,False,Fair,2,46
388,Spain,Male,2,0.0,True,True,186489.95,False,Good,2,62
389,Spain,Female,2,0.0,False,True,162922.65,False,Good,2,45
390,France,Female,10,161525.96,True,False,9262.77,False,Poor,2,21
391,Germany,Female,7,147199.07,True,True,84932.4,False,Good,1,29
392,Germany,Male,3,183102.29,True,True,71557.12,False,Very Good,1,38
393,Spain,Male,9,127209.0,True,False,77405.95,True,Fair,2,46
394,Spain,Male,8,0.0,False,False,417.41,True,Poor,2,38
395,Spain,Female,0,97378.54,True,True,71405.17,False,Fair,1,24
396,Germany,Female,2,136925.09,False,True,153400.24,False,Fair,2,37
397,France,Male,3,54503.55,True,True,371.05,False,Poor,1,33
398,Germany,Male,8,155726.85,True,False,67789.99,False,Poor,1,32
399,France,Female,9,0.0,False,True,145894.9,False,Good,2,39
400,France,Female,1,135842.41,True,False,183840.51,True,Fair,1,66
401,France,Male,1,63349.75,True,False,108887.44,False,Fair,1,52
402,Germany,Female,4,129499.42,True,True,154071.27,False,Fair,1,38
403,Spain,Male,8,0.0,False,True,179291.85,False,Very Good,2,52
404,Spain,Male,6,70438.01,False,True,56937.43,False,Poor,2,36
405,France,Male,8,0.0,True,True,112239.03,False,Good,2,23
406,France,Male,9,0.0,True,False,45909.87,False,Good,1,36
407,Spain,Female,9,141434.04,False,False,173779.25,True,Poor,1,49
408,Spain,Female,4,0.0,True,False,125696.26,False,Fair,2,37
409,Germany,Male,10,152958.29,True,True,159585.61,False,Fair,2,37
410,Germany,Female,3,138306.34,True,False,106761.47,False,Poor,1,41
